"TopLevel","FileCount"
"colyseus-server","17770"
"starforge-viewer","7403"
"firebase-backend","5947"
"src","591"
"shared","69"
"android","44"
"dist","33"
"docs","27"
"__tests__","27"
"assets","23"
"scripts","8"
"audit","6"
"constants","3"
"tools","2"
".vscode","2"
".gitignore","1"
".github","1"
"README.md","1"
"star.ps1","1"
"eslint.config.js","1"
"expo-env.d.ts","1"
".eslintrc.json","1"
"package-lock.json","1"
"package.json","1"
"progress.md","1"
"app.config.ts","1"
".firebaserc","1"
"App.tsx","1"
"app.json","1"
"eas.json","1"
"CODEX_GAMES_REVIEW_PASS2.md","1"
"tsconfig.json","1"
"CODEX_FULL_REVIEW.md","1"
"CODEX_GAMES_REVIEW.md","1"
"metro.config.js","1"
"jest.setup.js","1"
"firebase.json","1"
"metro.bundle-analyzer.config.js","1"
"e2e","1"
"starforge_modules_v1.json","1"
"dev-server-run.log","1"
"dev-server.log","1"
"babel.config.js","1"
"bundle-budget.yaml","1"
"start.ps1","1"
"jest.config.js","1"
