"TopLevel","FileCount"
"src","591"
"colyseus-server","97"
"firebase-backend","86"
"starforge-viewer","79"
"shared","69"
"__tests__","27"
"docs","27"
"assets","20"
"scripts","8"
"constants","3"
"tools","2"
"audit","2"
"star.ps1","1"
"app.json","1"
"app.config.ts","1"
"App.tsx","1"
"tsconfig.json","1"
"start.ps1","1"
"starforge_modules_v1.json","1"
"e2e","1"
"package.json","1"
"dev-server.log","1"
"metro.config.js","1"
"package-lock.json","1"
"dev-server-run.log","1"
"CODEX_FULL_REVIEW.md","1"
"CODEX_GAMES_REVIEW.md","1"
"babel.config.js","1"
"bundle-budget.yaml","1"
"CODEX_GAMES_REVIEW_PASS2.md","1"
"eslint.config.js","1"
"progress.md","1"
"README.md","1"
"eas.json","1"
"jest.setup.js","1"
"metro.bundle-analyzer.config.js","1"
"firebase.json","1"
"jest.config.js","1"
