"Directory","Reviewed","Changed","Notes"
".github","Yes","No",""
".github\workflows","Yes","No",""
".vscode","Yes","No",""
"__tests__","Yes","Yes","Touched in current audit pass"
"__tests__\achievements","Yes","No",""
"__tests__\calls","Yes","Yes","Touched in current audit pass"
"__tests__\components","Yes","No",""
"__tests__\games","Yes","No",""
"__tests__\games\chess","Yes","No",""
"__tests__\hooks","Yes","No",""
"__tests__\integration","Yes","No",""
"__tests__\messaging","Yes","Yes","Touched in current audit pass"
"__tests__\messaging\adapters","Yes","No",""
"__tests__\performance","Yes","Yes","Touched in current audit pass"
"__tests__\services","Yes","No",""
"__tests__\spectator","Yes","No",""
"android","Yes","No",""
"android\app","Yes","No",""
"android\app\src","Yes","No",""
"android\app\src\debug","Yes","No",""
"android\app\src\debugOptimized","Yes","No",""
"android\app\src\main","Yes","No",""
"android\app\src\main\java","Yes","No",""
"android\app\src\main\java\com","Yes","No",""
"android\app\src\main\java\com\vibeapp","Yes","No",""
"android\app\src\main\java\com\vibeapp\mobile","Yes","No",""
"android\app\src\main\res","Yes","No",""
"android\app\src\main\res\drawable","Yes","No",""
"android\app\src\main\res\drawable-hdpi","Yes","No",""
"android\app\src\main\res\drawable-mdpi","Yes","No",""
"android\app\src\main\res\drawable-xhdpi","Yes","No",""
"android\app\src\main\res\drawable-xxhdpi","Yes","No",""
"android\app\src\main\res\drawable-xxxhdpi","Yes","No",""
"android\app\src\main\res\mipmap-anydpi-v26","Yes","No",""
"android\app\src\main\res\mipmap-hdpi","Yes","No",""
"android\app\src\main\res\mipmap-mdpi","Yes","No",""
"android\app\src\main\res\mipmap-xhdpi","Yes","No",""
"android\app\src\main\res\mipmap-xxhdpi","Yes","No",""
"android\app\src\main\res\mipmap-xxxhdpi","Yes","No",""
"android\app\src\main\res\values","Yes","No",""
"android\app\src\main\res\values-night","Yes","No",""
"android\gradle","Yes","No",""
"android\gradle\wrapper","Yes","No",""
"assets","Yes","No",""
"assets\decorations","Yes","No",""
"assets\decorations\achievement","Yes","No",""
"assets\decorations\basic","Yes","No",""
"assets\decorations\exclusive","Yes","No",""
"assets\decorations\premium","Yes","No",""
"assets\decorations\seasonal","Yes","No",""
"assets\effects","Yes","No",""
"assets\images","Yes","No",""
"assets\sounds","Yes","No",""
